"","class_name","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9"
"55",0,0.222222,0.178571,0.000000,0.000000,0.000000,2944.000000,28.000000,49.000000,1.000000,291.000000
"56",0,0.250000,0.151515,0.000000,0.000000,0.000000,2817.000000,59.000000,60.000000,1.000000,273.000000
"57",0,0.227273,0.208333,0.000000,0.000000,0.000000,2507.000000,42.000000,38.000000,1.000000,251.000000
"58",0,0.344828,0.163934,0.000000,0.000000,0.000000,2834.000000,38.000000,55.000000,1.000000,281.000000
"59",0,0.178571,0.196078,0.000000,0.000000,0.000000,2876.000000,20.000000,40.000000,1.000000,280.000000
"60",0,0.769231,0.222222,0.000000,0.000000,0.000000,2686.000000,25.000000,35.000000,1.000000,249.000000
"61",0,0.161290,0.204082,0.000000,0.000000,0.000000,2794.000000,28.000000,43.000000,1.000000,285.000000
"62",0,0.909091,0.769231,0.000000,0.000000,0.000000,52.000000,0.000000,1.000000,1.000000,10.000000
"63",0,0.909091,0.714286,0.000000,0.000000,0.000000,422.000000,4.000000,5.000000,1.000000,58.000000
"64",0,1.000000,0.714286,0.000000,0.000000,0.000000,237.000000,8.000000,5.000000,1.000000,39.000000
"65",0,0.909091,0.769231,0.000000,0.000000,0.000000,222.000000,5.000000,4.000000,1.000000,33.000000
"66",0,0.833333,0.476190,0.000000,0.000000,1.000000,735.000000,5.000000,8.000000,1.000000,82.000000
"67",0,0.588235,0.625000,0.000000,0.000000,0.000000,642.000000,2.000000,7.000000,1.000000,83.000000
"68",0,1.000000,1.000000,0.000000,0.000000,0.000000,92.000000,4.000000,1.000000,1.000000,16.000000
"69",0,1.000000,0.833333,0.000000,0.000000,0.000000,77.000000,4.000000,1.000000,1.000000,17.000000
"70",0,1.000000,1.000000,0.000000,0.000000,0.000000,95.000000,3.000000,2.000000,1.000000,20.000000
"71",0,0.833333,0.909091,0.000000,0.000000,0.000000,85.000000,0.000000,2.000000,1.000000,15.000000
"72",0,0.769231,0.909091,0.000000,0.000000,0.000000,183.000000,3.000000,3.000000,1.000000,34.000000
"73",0,0.909091,1.000000,0.000000,0.000000,0.000000,86.000000,1.000000,1.000000,1.000000,18.000000
"74",0,0.714286,0.833333,0.000000,0.000000,0.000000,366.000000,4.000000,4.000000,1.000000,50.000000
"75",0,0.769231,0.500000,0.000000,0.000000,0.000000,368.000000,2.000000,4.000000,1.000000,51.000000
"76",0,1.000000,0.833333,0.000000,0.000000,0.000000,145.000000,2.000000,4.000000,1.000000,26.000000
"77",0,0.714286,1.000000,0.000000,0.000000,0.000000,143.000000,3.000000,1.000000,1.000000,26.000000
"78",0,0.833333,0.909091,0.000000,0.000000,0.000000,110.000000,0.000000,2.000000,1.000000,23.000000
"79",0,1.000000,0.909091,0.000000,0.000000,0.000000,50.000000,1.000000,1.000000,1.000000,9.000000
"80",0,1.000000,0.909091,0.000000,0.000000,0.000000,99.000000,3.000000,1.000000,1.000000,20.000000
"81",0,0.909091,1.000000,0.000000,0.000000,0.000000,54.000000,2.000000,1.000000,1.000000,12.000000
"82",0,1.000000,0.909091,0.000000,0.000000,0.000000,145.000000,2.000000,2.000000,1.000000,19.000000
"83",0,0.909091,0.909091,0.000000,0.000000,0.000000,162.000000,2.000000,2.000000,1.000000,27.000000
"84",0,1.000000,0.909091,0.000000,0.000000,0.000000,43.000000,2.000000,1.000000,1.000000,9.000000
"85",0,1.000000,1.000000,0.000000,0.000000,0.000000,40.000000,2.000000,1.000000,1.000000,9.000000
"86",0,0.833333,0.714286,0.000000,0.000000,0.000000,243.000000,2.000000,5.000000,1.000000,35.000000
"87",0,1.000000,0.833333,0.000000,0.000000,0.000000,71.000000,0.000000,2.000000,1.000000,15.000000
